method,auroc,fpr95,tpr05
loss,61.4%,90.0%,14.7%
zlib,62.1%,89.2%,15.8%
mink_0.1,59.5%,92.0%,14.0%
mink_0.2,61.7%,90.7%,16.5%
mink_0.3,61.7%,89.7%,16.5%
mink_0.4,61.8%,90.5%,17.1%
mink_0.5,61.6%,90.7%,15.2%
mink_0.6,61.7%,91.3%,15.0%
mink_0.7,61.5%,90.2%,14.7%
mink_0.8,61.4%,90.2%,14.5%
mink_0.9,61.3%,90.0%,14.2%
mink_1.0,61.4%,90.0%,14.7%
mink++_0.1,62.9%,86.9%,9.3%
mink++_0.2,64.0%,84.3%,10.6%
mink++_0.3,64.1%,85.9%,10.3%
mink++_0.4,64.2%,84.3%,11.1%
mink++_0.5,64.2%,86.9%,11.6%
mink++_0.6,64.4%,87.1%,12.4%
mink++_0.7,64.3%,85.3%,13.4%
mink++_0.8,64.2%,87.4%,14.2%
mink++_0.9,63.9%,88.4%,13.7%
mink++_1.0,64.3%,84.8%,12.1%
ref,61.3%,83.8%,6.2%
lowercase,60.9%,91.5%,11.1%
neighbor,64.2%,91.3%,15.0%
